id,nome,indirizzo,cap,citta,geolocazione,telefono,fax,mobile,email,web,tipi,tipi-specifici,agenzia.intestazione,consolato.stato,consolato.console,consolato.pec,consolato.orari.giorni,consolato.orari.apertura,consolato.orari.chiusura,consolato.orari.note,accoglienza.stelle,accoglienza.camere,accoglienza.sale_meeting,accoglienza.residences,accoglienza.descrizione,accoglienza.direttore,accoglienza.gestione,divertimento-e-ristoro.cucina,divertimento-e-ristoro.orari.giorni,divertimento-e-ristoro.orari.apertura,divertimento-e-ristoro.orari.chiusura,divertimento-e-ristoro.orari.note,divertimento-e-ristoro.informazioni,luoghi-da-visitare.orari.giorni,luoghi-da-visitare.orari.apertura,luoghi-da-visitare.orari.chiusura,luoghi-da-visitare.orari.note,luoghi-da-visitare.orari.visite,luoghi-da-visitare.orari.servizi,luoghi-da-visitare.orari.prezzi,luoghi-da-visitare.informazioni_storiche,luoghi-da-visitare.note,luoghi-da-visitare.gestore.nome,luoghi-da-visitare.gestore.indirizzo,luoghi-da-visitare.gestore.cap,luoghi-da-visitare.gestore.localita,luoghi-da-visitare.gestore.mobile,luoghi-da-visitare.gestore.telefono,luoghi-da-visitare.gestore.fax,luoghi-da-visitare.gestore.email,luoghi-da-visitare.gestore.web,icon
101,Palazzo Mirto,Palazzo Mirto,90133,Palermo,,091/167541 - 0916164751,,,,http://www.regione.sicilia.it/beniculturali/palazzomirto,luogo da visitare,Palazzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
103,Palazzo Palagonia,Palazzo Palagonia,90133,Palermo,,091/431605,,,,,luogo da visitare,Palazzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
108,Palazzo Sant'Elia (Palazzo Celestri di Santa Croce),Palazzo Sant'Elia (Palazzo Celestri di Santa Croce),90133,Palermo,,091/628289,,,,http://www.provincia.palermo.it/palazzo_s.elia,luogo da visitare,Palazzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
112,Palazzo Tarallo,Palazzo Tarallo,90134,Palermo,,091/166621 - 0916101388,,,,,luogo da visitare,Palazzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
139,Villa Niscemi,Villa Niscemi,90146,Palermo,,091/404822,,,,,Dimore e Ville Storiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
146,Villino Florio,Villino Florio,90138,Palermo,,091/025471,,,,,Dimore e Ville Storiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
141,Villa Trabia,Villa Trabia,90141,Palermo,,091/405905,,,,,Dimore e Ville Storiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
135,Villa Malfitano,Villa Malfitano,90141,Palermo,,091/820522 - 0916816133,,,,,Dimore e Ville Storiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
138,Villa Napoli,Villa Napoli,90129,Palermo,,,,,,,Dimore e Ville Storiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
143,Villa Zito,Villa Zito,90143,Palermo,,091/259519,,,info@fondazionesicilia.it,,Dimore e Ville Storiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
155,Parco di Villa Malfitano,Parco di Villa Malfitano,90141,Palermo,,,,,,,"Giardino pubblico, Spazio verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
162,Villa Terrasi,Villa Terrasi,90144,Palermo,,,,,,,"Giardino pubblico, Spazio verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
148,Giardino Inglese,Giardino Inglese,90143,Palermo,,091/406790,,,,,"Giardino pubblico, Spazio verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
160,Villa Garibaldi,Villa Garibaldi,90133,Palermo,,,,,,,"Giardino pubblico, Spazio verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
154,Parco d'Orleans,Parco d'Orleans,90134,Palermo,,091/075038,,,,,"Giardino pubblico, Spazio verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
157,Parco di Villa Trabia,Parco di Villa Trabia,90141,Palermo,,091/405905,,,,,"Giardino pubblico, Spazio verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
149,Giardino di Villa Napoli,Giardino di Villa Napoli,90129,Palermo,,,,3283605846,,,"Giardino pubblico, Spazio verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
153,Parco Ninni Cassarà,Parco Ninni Cassarà,,,,,,,,,"Giardino pubblico, Spazio verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
156,Parco di Villa Niscemi,Parco di Villa Niscemi,90146,Palermo,,,,,,http://www.comune.palermo.it/comune/villa_niscemi/niscemi.htm,"Giardino pubblico, Spazio verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
161,Villa Giulia,Villa Giulia,90133,Palermo,,091/404028,,,,,"Giardino pubblico, Spazio verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
227,Parcheggio Orlando,Parcheggio Orlando,90138,Palermo,,,,,,,Parcheggio pubblico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
67,Santuario Santa Rosalia,Santuario Santa Rosalia,90142,Palermo,,091/40326,,,,http://www.santuariosantarosalia.it/,luogo da visitare,Santuario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
