Tipo|Nome del sito|descrizione del sito|indirizzo|info|orario ingresso|note orario ingresso|biglietto|indirizzo mail|sito web|note visite guidate|accessibilità
MUSEI E GALLERIE D'ARTE|Museo di Mineralogia e Zoologia "P. Doderlein"|Museo di Mineralogia e Zoologia|Via Archirafi, 16|tel. 091 238 91819 |da Lunedì a Venerdì dalle 9 alle 13 - Sabato e le Domeniche con "eventi organizzati" dalle 10 alle 17  Chiuso Domenica e festivi||intero  3,00 - ridotto  2,50 per gruppi -  2,00 per studenti universitari e dipendenti -  1,00 per residenti - gratuito per studenti della facoltà di mineralogia e scienza||www.museozoologia.unipa.it||
MUSEI E GALLERIE D'ARTE|Museo di Radiologia|Museo di Radiologia|Piazza delle Cliniche, 2  (all'interno del Policlinico di Palermo)|tel. 091 655 2335/6|Ingresso gratuito esclusivamente su richiesta e prenot. telefonica Chiuso Sabato,  Domenica e festivi||Ingresso gratuito||||
MUSEI E GALLERIE D'ARTE|Museo Diocesano|Museo Diocesano - Palazzo Arcivescovile|Via Matteo Bonello, 2|tel. 091 607 7111|da Martedì a Venerdì dalle 9.30 alle 13.30 - Sabato dalle 10 alle 18 - Domenica e festivi 9.30 - 13.30 Chiuso Lunedì||intero  4,50 - ridotto  3,50 dai 6 ai 17 anni ed over 60 - ridotto  1,00 per scolaresche o gruppi min. 15 pax. E' possibile acquistare un biglietto cumulativo per visitare in combinata l'area monumentale della Cattedrale.||www.museodiocesanopa.it||
MUSEI E GALLERIE D'ARTE|Museo Enologico|Museo Enologico c/o Palazzo Principe di Palagonia|Via del IV Aprile, 2  (Piazza Marina)|tel. 091 616 2288|da Lunedì a Sabato dalle 9 alle 12 Chiuso Domenica e festivi||intero  5,00 comprensivo di visita guidata e degustazione ||www.enotecasicilia.eu||
MUSEI E GALLERIE D'ARTE|Museo Etnografico "G. Pitrè"|Museo Etnografico  "G. Pitrè"  Giuseppe Pitrè, demologo palermitano visse a cavallo tra il XIX ed il XX secolo. Medico di professione, si dedicò con passione filologica alla conservazione e catalogazione del patrimonio orale del popolo siciliano. Frutto dellimmane lavoro, che ebbe riconoscimenti fin oltre oceano, è la Biblioteca delle Tradizioni Popolari pubblicata in 25 volumi che attraverso la raccolta di canti, fiabe proverbi ricette giochi e indovinelli ripercorre il ciclo dellanno e della vita nella Sicilia del tempo. La collezione di manufatti raccolta da Pitrè e ordinata dal suo illustre allievo Giuseppe Cocchiara, costituiscono il primo nucleo del Museo Etno-antropologico di Palermo. Lesposizione permanente, allestita nel piano nobile del palazzo, ospita portantine e mobili settecenteschi, il teatrino dellOpera dei Pupi, la "stanza della memoria", dedicata a Giuseppe Pitrè, e parte dei volumi della Biblioteca, pubblicata in venticinque volumi fra il 1871 e il 1913, in particolare i fondi riguardanti le tradizioni popolari, la storia e larchitettura siciliana.|Viale Duca degli Abruzzi, 1|tel. 091 7409008 - 091 7409005 per informazioni e prenotazione visite : dal Lunedì al Venerdì dalle ore 09.30 alle ore 13.30|da Martedì a Domenica dalle 9.30 alle 18.30 Chiuso Lunedì - INGRESSO GRATUITO||||||
MUSEI E GALLERIE D'ARTE|Museo Geologico di Paleontologia "Gemmellaro"|Museo Geologico di Paleontologia|Corso Tukory, 131|tel. 091 253 9477 |da Lunedì a Giovedì dalle 9 alle 13 e dalle 15 alle 17, Venerdì dalle 9 alle 13. Il sabato dalle 9 alle 13 solo su prenotazione. Chiuso Sabato, Domenica e festivi||intero  3,00 - ridotto  2,00||www.unipa.it/museogemmellaro||
MUSEI E GALLERIE D'ARTE| Museo Internazionale delle Marionette "A. Pasqualino" M.I.M.A.| Museo Internazionale delle Marionette|Piazzetta A. Pasqualino, 5 (trav. via Butera)|tel. 091 328060|da Lunedì a Sabato dalle 9 alle 13 e dalle 14.30 alle 18.30 Domenica dalle 10 alle 13 Martedì e Giovedì alle ore 17.30 verrà effettuato spettacolo teatrale Chiuso festivi||intero  5,00 - ridotto  3,00 bambini, over 65 e gruppi min. 20 pax. costi spettacolo:  6,00 - ridotto  4,00 bambini, over 65 e gruppi min. 20 pax.||www.museomarionettepalermo.it||
MUSEI E GALLERIE D'ARTE|Museo Mormino |Museo - sede: Villa Zito|Viale Libertà, 52 |tel. 091 779 2711|da Lunedì a Venerdì dalle 9 alle 13 e dalle 15 alle 17 Sabato dalle 9 alle 13. Chiuso Domenica e festivi||intero  4,00 - ridotto  2,00 per ragazzi sotto i 18, over 65 anni ed universati muniti di tesserino - gratuito per studenti previa prenotazione||www.museomormino.it||
MUSEI E GALLERIE D'ARTE|Museo Regionale di Palazzo Mirto|Museo Regionale|Via Merlo, 2|tel. 091 616 7541 - 091 616 4751|da Martedì a Sabato dalle 9 alle 18 (ult.ingresso 17.30) - Domenica dalle 9 alle 13 (ult.ingresso 13.30) Chiuso Lunedì||intero  5,00 - ridotto  3,00 da 18 a 25 anni. Gratuito under 18 ed over 65. Il ticket comprende la guida||www.regione.sicilia.it/beniculturali/palazzomirto||
MUSEI E GALLERIE D'ARTE|Museo sulla storia della Scienza|Museo sulla storia della Scienza - c/o Liceo Classico Garibaldi|Via Maggiore Toselli, 36 |tel: 091 589624 - 091 346152|Il Museo è visitabile esclusivamente su prenotazione||||www.museoscientifico.com||
VILLE e GIARDINI|Città dei Ragazzi|All'interno attività ludico-creative, con laboratori manipolativi per bambini e ragazzi ed altre iniziative. Info allo 0916714373|Viale degli Abruzzi, 1D|tel. 091 6714373||Chiusa per inattività dal 01/09/2012|costi: intero  2,00 - ridotto  1,00 per scolaresche su prenotazione telefonica -  5,00 abbonamento||||
VILLE e GIARDINI|Giardino della Zisa|villa|Piazza Guglielmo il Buono|tel. 091 652 0269|orari: da Martedì a Domenica dalle 7 alle 19|Chiuso Lunedì|ingresso gratuito||||
VILLE e GIARDINI|Giardino di Villa Napoli|Villa|Via Francesco Speciale|tel. 328 3605846||Chiuso al pubblico (prossima apertura)|||||
VILLE e GIARDINI|Giardino Inglese (1853)|all'interno del Giardino servizio "spazio gioco" (bambini da 0 a 3 anni) e "spazio bimbi piccoli" (fino a 5 anni) della "Ludoteca del Giardino", dal Lunedì al Venerdì dalle 9.30 alle 12.30 e dalle 16 alle 19, Il Sabato dalle 9.30 alle 12.30  Info 091.6268360 / 335.1079380|Viale della Libertà|tel. 091 7406790|da Lunedì a Domenica dalle 8 alle alle 20|n.b. in caso di condizioni climatiche avverse, il Giardino rimarrà chiuso al pubblico|||www.laludotecadelgiardino.it||
VILLE e GIARDINI|Orto Botanico (1785)|Giardino pubblico|(1785)  Via Lincoln 2/b||Ottobre da Lunedì a Domenica dalle 9 alle 19 - Novembre tutti i giorni dalle 9 alle 18. Da Dicembre in poi tutti i giorni dalle 9 alle 17||intero  5,00 - ridotto  4,00 per gruppi min. 20 pax - ridotto  3,00 dai 10 ai 16 anni - ridotto  2,00 over 65 -  1,00 bambini d'età inferiore a 10 anni - biglietto famiglia  10,00 (genitori+1 figlio)||www.ortobotanico.palermo.it|Il Sito organizza "visite guidate" a tema, storico botaniche       Per info numero verde 800 905 367|
VILLE e GIARDINI|Parco Ninni Cassarà (2011)|parco pubblico|via E. Basile, via Altofonte (bassa) e Largo Claudio Traina (già Corso Pisani)||Periodo invernale (21 ottobre - 21 marzo) tutti i giorni dalle 7.30 alle 18.30. Periodo estivo (22 marzo - 20 ottobre) tutti i giorni dalle 7.30 alle 20.||||||
VILLE e GIARDINI|Parco d'Orleans (1797)|Parco|Corso Re Ruggero|tel. 091 7075038|da Lunedì a Venerdì dalle 9 alle 13 e dalle 15 alle 18 - Sabato e Domenica dalle 9 alle 13|n.b. in caso di condizioni climatiche avverse, il Giardino rimarrà chiuso al pubblico  Chiuso i festivi|||||
VILLE e GIARDINI|Villa Filippina (1755)|villa pubblica|Piazza S.Francesco di Paola, 18||da Lunedì a Venerdì dalle 10 alle 20 - Sab e Dom dalle 10 alle 24|La struttura offre varie attrazioni tra le quali l'osservatorio astronomico (il Sabato e la Domenica dalle 10 alle 13 e dalle 18 alle 22)|5,00 (il biglietto è omnicomprensivo di tutte le altre attività offerte all'interno della Villa)||www.villafilippina.it||
VILLE e GIARDINI|Villa Garibaldi (1864)|Villa pubblica|Piazza Marina||tutti i giorni dalle 8 alle 19.30|n.b. in caso di condizioni climatiche avverse, il Giardino rimarrà chiuso al pubblico|||||
VILLE e GIARDINI|Villa Giulia (1777)|Villa pubblica|Via Lincoln|tel. 091 7404028|tutti i giorni, festivi compresi, dalle 8 alle 20|n.b. in caso di condizioni climatiche avverse, il Giardino rimarrà chiuso al pubblico||||Visite guidate su prenotazione. Per info telefonare allo 091 8431605|
VILLE e GIARDINI|Villa Igea|dependance albergo|Salita Belmonte, 43|tel. 091 631 2141|Il giardino è visitabile previo accordo con l'Hotel Villa Igiea||||||
VILLE e GIARDINI|Villa Malfitano  (1885)|Villa Malfitano  (1885)|Via Dante|tel. 091 6820522|da Lunedì a Sabato dalle 9 alle 13.30|Chiuso Domenica e festivi|l'ingresso alla Villa è gratuito per accedere al Palazzo il costo è di  6,00 a persona||www.fondazionewhitaker.it||
VILLE e GIARDINI|Villa Niscemi  (XVIII sec.)|Villa Niscemi  (XVIII sec.)|Piazza Niscemi|tel. 091 7404822|il parco tutti i giorni dalle 9 alle 18.|E' possibile visitare l'edificio gratuitamente da Lunedì a Sabato previo accordo, domenica e festivi dalle 9 alle 13|||||
VILLE e GIARDINI|Villa Terrasi|Villa Terrasi|Viale Lazio||tutti i giorni dalle 8.30 alle 19|All'interno il "Cafè Letterario Costas", sistema bibliotecario cittadino (wifi room + biblioteca) aperti dal Lunedì al Venerdì dalle 9 alle 18.30|||||
VILLE e GIARDINI|Villa Trabia (XVIII sec.)|Villa Trabia (XVIII sec.) sede di biblioteca e mediateca comunale|Via Salinas, 3|tel. 091 7405905|tutti i giorni dalle 7 alle 19|n.b. in caso di condizioni climatiche avverse, il Giardino rimarrà chiuso al pubblico|||||
