accoglienza.sale_meeting,consolato.orari.apertura,cap,consolato.console,agenzia.intestazione,accoglienza.direttore,accoglienza.residences,id,tipi_specifici,divertimento-e-ristoro.orari.note,accoglienza.descrizione,accoglienza.stelle,divertimento-e-ristoro.cucina,consolato.pec,citta,fax,indirizzo,telefono,web,consolato.orari.note,divertimento-e-ristoro.orari.apertura,tipi,divertimento-e-ristoro.orari.giorni,consolato.orari.giorni,consolato.stato,email,divertimento-e-ristoro.orari.chiusura,accoglienza.gestione,accoglienza.camere,nome,divertimento-e-ristoro.informazioni,consolato.orari.chiusura,mobile
,,90141,,Ci.ca. S.r.l.,,,66,,,,,,,Palermo,091/6260639,Cica Blu Viaggi,091/7829192,www.cicablu.com,,,agenzia di viaggi,,,,info@cicablu.com,,,,Cica Blu Viaggi,,,
,,90138,,Oikistes Viaggi & Turismo by Spot s.r.l.,,,67,,,,,,,Palermo,091591069,Oikistes Viaggi & Turismo,0917026444,www.oikistesviaggi.it,,,agenzia di viaggi,,,,info@oikistes.191.it,,,,Oikistes Viaggi & Turismo,,,
,,90141,,Cisalpina Tours S.p.a.,,,69,,,,,,,Palermo,091/3809903,Cisalpina Tours - Vivere e Viaggiare,091/6252100,www.cisalpina.it,,,agenzia di viaggi,,,,palermo@vivereeviaggiare.it,,,,Cisalpina Tours - Vivere e Viaggiare,,,
,,90139,,,,,70,,,,,,,Palermo,091/6623406,Clamax Service,091/6124088,,,,agenzia di viaggi,,,,mesotour1@clamaxservice.191.it,,,,Clamax Service,,,
,,90139,,Soc. Coop. a.r.l.,,,71,,,,,,,Palermo,0913809837,Palma Nana,0917434726,www.educazioneambientale.com,,,agenzia di viaggi,,,,info@educazioneambientale.com,,,,Palma Nana,,,
,,90144,,Capreri S.r.l.,,,73,,,,,,,Palermo,091/7851896,Coffe Travel,091/7851896,,,,agenzia di viaggi,,,,,,,,Coffe Travel,,,
,,90144,,Collage Turismo S.r.l.,,,74,,,,,,,Palermo,091/6818309,Collage Turismo Viaggi e Vacanze,091/6814222,www.collageturismo.it,,,agenzia di viaggi,,,,info@collageturismo.it,,,,Collage Turismo Viaggi e Vacanze,,,
,,90100,,,,,75,,,,,,,Palermo,091329990,Pietro Barbaro,091333333,www.pietrobarbaro.com,,,agenzia di viaggi,,,,info@pietrobarbaro.com,,,,Pietro Barbaro,,,
,,90144,,,,,88,,,,,,,Palermo,0916264281,Scialo Viaggi,0917219096,www.scialoviaggi.it,,,agenzia di viaggi,,,,info@scialoviaggi.it,,,,Scialo Viaggi,,,
,,90124,,Viaggi Forum,,,112,,,,,,,Palermo,091/474421,Fan Viaggi Forum,091/6212488,www.viaggi-forum.it,,,agenzia di viaggi,,,,info@viaggi-forum.it,,,,Fan Viaggi Forum,,,
,,90142,,Terre di Sicania Service Soc. Coop. a r.l.,,,113,,,,,,,Palermo,091362446,Tourismondo,0916315628,,,,agenzia di viaggi,,,,info@tourismondo.it,,,,Tourismondo,,,
,,90144,,Nuova Compagnia delle Indie di Arena R. & C. S.a.s.,,,130,,,,,,,Palermo,091/348009,Glintour,091/6257300,,,,agenzia di viaggi,,,,glintour@libero.it,,,,Glintour,,,
,,90129,,Villa Tasca Viaggi s.r.l.,,,134,,,,,,,Palermo,0916452797,Villa Tasca Viaggi,091489518,,,,agenzia di viaggi,,,,villatascaviaggi@gmail.com,,,,Villa Tasca Viaggi,,,
,16.30,,Cav. Avv. Vincenzo Di Tanto Console Generale Onorario del Bangladesh,,,,5,,,,,,,,091 6111484,,091 6111484,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Bangladesh,studiolegaleditanto@libero.it,,,,,,18.30,3356316148
,09.00,,Barone Piervincenzo Mancuso Console Onorario del Belgio,,,,6,,,,,,,,091 347093,,091 305132,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Belgio,,,,,,,12.30,335 6209284
,16.00,,Sig. Paolo Mancuso Console Onorario del Brasile,,,,7,,,,,,,,091 585155,,091 588661,,,,consolato,,"lunedi,mercoled??,gioved??",Brasile,mancuso@infcom.it,,,,,,18.30,
,8.30,,Dr. Vladimir Korotkov Console Generale della Federazione Russa Ministro Straordinario e Plenipotenziario Decano del Corpo Consolare,,,,14,,,,,,,,091 6114899,,091 6113970,,,,consolato,,"lunedi,martedi,giovedi",Federazione Russa,visa@consolatorussopa.it,,,,,,12.30,
,9.00,,Sig.ra Hanne Elisabeth Frendrup Carstensen Castellucci Console Onorario della Danimarca Consigliere di Decanato,,,,17,,,,,,,,091 6372482,,091 543506,,chiusura: 13.00-16.00,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Danimarca,hc@sikania.it,,,,,,18.00,
,9.00,,Prof.ssa Renata Lavagnini Console Onorario della Grecia,,,,18,,,,,,,,091 308996,,091 6259541,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Grecia,congr.pa@issbi.org,,,,,,13.00,
,9.00,,Avv. Alessandro Palmigiano Console Onorario della Repubblica di Lituania Consigliere di Decanato,,,,19,,,,,,,,0916110983,,0916093512 - 091589752,,chiusura: 13.00-16.00,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Lituania,palmigiano@consolatolituania.com,,,,,,18.00,
,09.00,,Dr. Antonio Cosenz Console Onorario del Granducato del Lussemburgo Consigliere di Decanato,,,,20,,,,,,,,0916256234,,0916256218,,"chiusura: 12.00-16.00; martedi,giovedi: chiusura pomeridiana",,consolato,,"Luned??,martedi,mercoled??,giovedi,venerd??",Lussemburgo,bcc@studiobcc.it,,,,,,16.00,
,14.30,,Avv. Emanuele Bruno Console Onorario del Principato di Monaco,,,,23,,,,,,,,091333901,,091333901,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Principato di Monaco,consolatomonaco.palermo@virgilio.it,,,,,,17.30,
,15.00,,Dr. Antonio Tito Console Onorario di Burkina Faso,,,,9,,,,,,,,,,091 6110329,,,,consolato,,martedi,Burkina Faso,consoleburkfasopalermo@gmail.com,,,,,,19.00,335 6309807
,16.00,,Avv. Antonietta Alongi Console Onorario di Capo Verde,,,,10,,,,,,,,091 6120568,,091 6112144,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Capo Verde,capoverde@aacweb.it,,,,,,20.00,
,9.00,,Dr. Vincenzo Chiriaco Console Onorario del Cile,,,,11,,,,,,,,091 6113225,,091 329744,,chiusura: 13.00-15.30,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Cile,consolatocilepa@gmail.com,,,,,,19.00,
,09.00,,Dr. Vincenzo Militello Console Onorario della Repubblica Federale di Germania,,,,16,,,,,,,,091 9820808,,091 9820808,,,,consolato,,"lunedi, mercoled??, venerd??",Germania,palermo@hkdipio.de,,,,,,12.30,
,9.00,,Dr. Agostino Randazzo Console Onorario della Bulgaria,,,,8,,,,,,,,091 6015314,,091 6015335,,-chiusura: 13.00-14.00,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Bulgaria,agostino.randazzo@randazzo.it,,,,,,17.30,
,9.00,,Sig. Ferdinando Veneziani Console Onorario della Repubblica di Costa d'Avorio,,,,13,,,,,,,,091 332742,,091 332742,,13.00-15.00,,consolato,,Mercoled??,Costa D'Avorio,cotedivoireconspa@alice.it,,,,,,18.00,
,9.00,,"Notaio Franco Salerno Cardillo Vice Console Onorario della Francia",,,,15,,,,,,,,091 6110299,,091 583405,,"lunedi,mercoledi,venerdi: chiusura 16.00-18.00",,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Francia,fsalernocardillo@notariato.it,,,,,,18.00,
,,,,,,,22,,,,,,,,0916881643,,0916886023,,,,consolato,,,Marocco,c.g.m.-palermo@maec.gov.ma,,,,,,,
,9.00,,Sig.ra Isabella Tagliavia Console Generale Onorario della Norvegia,,,,24,,,,,,,,091307790,,091587377,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Norvegia,tpandi@tin.it,,,,,,13.00,
,09.00,,Sig. Angelo Tagliavia Console Onorario del Pakistan,,,,26,,,,,,,,0916111908,,0916110910,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Pakistan,consulatepakistan@tagliavia.com,,,,,,12.00,
,8.30,,Marchese Prof. Paolo de Gregorio Partecipa al Corpo Consolare in qualit?? di Osservatore,,,,27,,,,,,,,0916316439,,091547414,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Sovrano Militare Ordine di Malta,degregoriopaolo@libero.it,,,,,,13.00,
,9.30,,Dr. Antonio Di Fresco Console Onorario della Corea del Sud Consigliere di Decanato,,,,12,,,,,,,,178 2787334,,091 226178,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Corea del Sud,adifres@tin.it,,,,,,12.30,
,9.00,,Sig. Alfredo Barbaro Console Generale Onorario di Malta,,,,21,,,,,,,,0917437388,,091333333,,chiusura: 13.00-14.30,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Malta,maltaconsul.palermo@gov.mt,,,,,,17.30,
,9.00,,Avv. Ignazio Caramanna Console Onorario della Spagna,,,,28,,,,,,,,091583706,,091320954,,chiusura: 13.00-16.00,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Spagna,info@studiocaramanna.it,,,,,,19.00,
,09.00,,Sig.ra Adelaide Sotyi Santamarina Console Onorario dell'Ungheria,,,,31,,,,,,,,0916850947,,0916850947,,,,consolato,,"lunedi, mercoled?? ,venerdi",Ungheria,msanta@iol.it,,,,,,12.00,
,16.30,,Dr.ssa Irene Salcher-Cillari Console Onorario dell'Austria Segretario Generale del Corpo Consolare,,,,4,,,,,,,,,,0916825696,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Austria,consolatoaustria.pa@hotmail.it,,,,,,18.30,
,09.00,,Dr. Salvatore De Luca Console Onorario dei Paesi Bassi,,,,25,,,,,,,,0916304028,,0916306005,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Paesi Bassi,s.deluca@esterminal.com,,,,,,12.00,
,09.00,,Dr.ssa Barbara Cucinella Agente Consolare Onorario degli U.S.A. Vice Decano del Corpo Consolare,,,,29,,,,,,,,0916256026,,091305857,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Stati Uniti D'America,cucinellab@state.gov,,,,,,12.30,
,09.00,,Dr. Salvatore De Luca Console Onorario della Svezia,,,,30,,,,,,,,0916304028,,0916306005,,,,consolato,,"lunedi,martedi,mercoledi,giovedi,venerdi",Svezia,s.deluca@esterminal.com,,,,,,12.00,
,,90142,,,Vito Giglio,,69,hotel,,,5,,,Palermo,091547654,Grand Hotel Villa Igiea Hilton Palermo,0916312111 - 800179217,http://www.villa-igiea.com,,,accoglienza,,,,vgiglio@amthotels.it - villa-igiea@amthotels.it,,,124,Grand Hotel Villa Igiea Hilton Palermo,,,
,,90123,,,,,73,hotel,,,2,,,Palermo,0916168631,Hotel Villa Archirafi,0916168827,http://www.villaarchirafi.com,,,accoglienza,,,,villaarchirafi@libero.it,,,,Hotel Villa Archirafi,,,
,,90133,,,,,74,hotel,,"L'Hotel moderno Gesa soddisfa da sempre tutte le esigenze della clientela. Tutte le camere sono con servizi privati e pompe di calore. Servizio 24 su 24. Provatelo una sera, Vi resterete un mese.",2,,,Palermo,091588683,Hotel Moderno,091588683,http://www.hotelmodernopa.com,,,accoglienza,,,,info@hotelmodernopa.com,,,,Hotel Moderno,,,
,,90139,,,,,75,hotel,,,2,,,Palermo,,Hotel Ariston,091332434,http://www.aristonpalermo.it,,,accoglienza,,,,info@aristonpalermo.it - info@bbaristonpalermo.com,,,,Hotel Ariston,,,366 1997502
,,90133,,,,,76,hotel,,,2,,,Palermo,0917920035,Hotel Italia,0916169320,http://www.hotelitalia-palermo.it,,,accoglienza,,,,hotelitaly@email.it,,,,Hotel Italia,,,338 9222547
,,90133,,,,,77,hotel,,,2,,,Palermo,0916165180,Hotel Alessandra,0916173958 - 0916174325,http://www.hotel-alessandra.it,,,accoglienza,,,,informazioni@hotel-alessandra.it - direzione@hotel-alessandra.it,,,,Hotel Alessandra,,,
,,90134,,,,,78,hotel,,,1,,,Palermo,0916161193,Hotel Orientale,0916165727 - 0916163506,http://www.albergoorientale.191.it,,,accoglienza,,,,prenotazioni@albergoorientale.191.it,,,,Hotel Orientale,,,
,,90139,,,,,81,hotel,,,2,,,Palermo,091345676,Hotel Libert??,091321911,http://www.libertahotel.com,,,accoglienza,,,,,,,,Hotel Libert??,,,
,,90134,,,,,84,hotel,,,2,,,Palermo,0916116570,Hotel Verdi,091584928,http://www.albergoverdi.it,,,accoglienza,,,,info@albergoverdi.it,,,,Hotel Verdi,,,
,,90144,,,,,86,hotel,,,2,,,Palermo,0916120169,Hotel Rainbow,091582867,http://www.hotelrainbow.it,,,accoglienza,,,,info@hotelrainbow.it,,,,Hotel Rainbow,,,340 1516288
,,90139,,,,,88,hotel,,,2,,,Palermo,091335364,Hotel Madonia,091333672 - 0916113532,,,,accoglienza,,,,,,,,Hotel Madonia,,,
,,90139,,,,,89,hotel,,,2,,,Palermo,091320247,Hotel Florio,0916090852,http://www.hotelflorio.info,,,accoglienza,,,,info@hotelflorio.net,,,,Hotel Florio,,,
,,90139,,,,,91,hotel,,,2,,,Palermo,,Hotel Boston,091580234,,,,accoglienza,,,,,,,,Hotel Boston,,,
,,90133,,,,,282,hotel,,,1,,,Palermo,0916162759,Cavour,0916162759,http://www.albergocavour.com,,,accoglienza,,,,albergocavour@virgilio.it,,,9,Cavour,,,
,,90133,,,,,284,hotel,,,1,,,Palermo,0916162340,Corona,0916162340,,,,accoglienza,,,,totobenigno@libero.it,,,11,Corona,,,
,,90133,,,,,286,hotel,,,2,,,Palermo,0916163606,Sicilia,0916168460,http://www.hotelsiciliapalermo.it,,,accoglienza,,,,info@hotelsiciliapalermo.it,,,15,Sicilia,,,
,,90139,,,,,85,hotel,,,2,,,Palermo,091333732,Hotel Gardenia,091333732,http://www.gardeniahotel.com,,,accoglienza,,,,gardeniahotel@gardeniahotel.com,,,,Hotel Gardenia,,,
,,90139,,,Enzo Vena,,17,hotel,,,3,,,Palermo,091586474 - 0916124145,Hotel Serena,0916115144,http://www.amarcordhotel.com,,,accoglienza,,,,info@amarcordhotel.it,,,8,Hotel Serena,,,
,,90151,,,Giovanni Genovese,,28,hotel,,,3,,,Palermo - Mondello,091450359,Conchiglia D'Oro,091450032,http://www.hotelconchigliadoro.com,,,accoglienza,,,,concoro@sicilia.com,,,50,Conchiglia D'Oro,,,
,,90139,,,Antonio Buscemi,,32,hotel,,,4,,,Palermo,0916092500,Grand Hotel Federico II,0917495052,http://www.grandhotelfedericoii.it,,,accoglienza,,,,info@grandhotelfedericoii.it,,,64,Grand Hotel Federico II,,,
,,90133,,,,,36,hotel,,"Nella citt?? pi?? esotica d'Italia, nel cuore del centro storico pi?? grande d'Europa, sorge l'Hotel del Centro. La sua ubicazione in un edificio storico conferisce all'hotel l'atmosfera elegante e un po' nostalgica d'altri tempi, offrendo al contempo un ambiente accogliente e confortevole. Scegliere l'Hotel del Centro vi garantir?? non soltanto la certezza di soggiornare in un luogo piacevole ed accogliente dove opera uno staff sempre molto attento alle esigenze della clientela, ma vi consentir?? altres?? di visitare a piedi il centro storico di Palermo, qualunque sia l'itinerario da voi prescelto fra i numerosi che la nostra citt?? offre. Inoltre l'hotel si trova a circa 200 metri dal terminal degli autobus da e per l'aeroporto e dalla stazione centrale, il che rende agevole raggiungere qualunque altra meta siciliana.",3,,,Palermo,0916173654,Hotel Del Centro,0916170376,http://www.hoteldelcentro.it,,,accoglienza,,,,info@hoteldelcentro.it,,,,Hotel Del Centro,,,
,,90139,,,Giordano Silvia,,37,hotel,,,3,,,Palermo,091588614,Elite Hotel,091329318,http://www.hotelelitepalermo.it,,,accoglienza,,,,info@hotelelite.info,,Societ?? Giove,17,Elite Hotel,,,393 9075441
,,90139,,,Pietro Silano,,43,hotel,,,3,,,Palermo,0918323211,Joli Hotel,0916111765,http://www.hoteljoli.com,,,accoglienza,,,,info@hoteljoli.com - pietro.silano@hoteljoli.com,,,30,Joli Hotel,,,
,,90145,,,,,52,hotel,,"L'Idea Hotel Palermo ?? ubicato sul Viale Regione Siciliana, strada di comunicazione principale della citt??, a soli 3 Km dal centro di Palermo e poco pi?? di 1 Km da via Notarbartolo conosciuta come una delle principali vie dello shopping della citt??. L'aeroporto di Palermo Falcone e Borsellino dista 28 Km e le famose spiagge di Mondello sono raggiungibili in solo 20 minuti di auto. Uno dei punti di forza dell'Idea Hotel Palermo ?? la prima colazione sempre ricca di dolci fatti in casa e tante prelibatezze: crostate di frutta fresca, torte di cioccolato, brioches ripiene, panna cotta, plum cakes e ancora frutta fresca, frutta sciroppata e, naturalmente, succhi di arancia di Sicilia. Non manca poi una vasta scelta di salumi, formaggi, uova, bacon, salsicce accompagnate sempre dal buon pane siciliano.",4,,,Palermo,091408198,Idea Hotel,0916983111,http://www.ideahotel.it,,,accoglienza,,,,palermo@ideahotel.it - frontoffice.palermo@hotelidea.it,,,,Idea Hotel,,,
,,90133,,,Salvatore Patan??,,53,hotel,,,4,,,Palermo,0916161441,Nh Jolly Hotel Palermo,0916165090 - 800017703,http://www.nh-hotels.it,,,accoglienza,,,,nhpalermo@nh-hotels.com,,,237,Nh Jolly Hotel Palermo,,,
,,90139,,,,,59,hotel,,"Classic Hotel nel centro di Palermo di 94 camere, dove l'eleganza della tradizione e il fascino del design convivono in un raffinato equilibrio. La vista, esclusiva, su Piazza Politeama e una posizione centrale rendono questo hotel storico la scelta ideale per una vacanza a Palermo alla scoperta di arte e cultura. Vicino ai negozi dello shopping, a ottimi ristoranti, e alla fermata della navetta per l' aeroporto, l' Hotel Politeama ?? la scelta ideale per chi ?? in viaggio d'affari a Palermo, o per un breve weekend romantico in citt??. Dormire all 'Hotel Politema significa essere accolti dal calore del nostro staff sempre pronto a suggerimenti e informazioni varie per fare sentire l'ospite come a casa propria e rendere il Suo soggiorno un'esperienza indimenticabile.",4,,,Palermo,0916111589,Politeama Palace Hotel,091322777,http://www.hotelpoliteama.it,,,accoglienza,,,,posta@hotelpoliteama.it - giovanna.bonsignore@hotelpoliteama.it,,,,Politeama Palace Hotel,,,348 7704125
10,,90123,,,Marcello Pizzuto,,63,hotel,,,4,,,Palermo,0916215300,San Paolo Palace Hotel,0916211112,http://www.sanpaolopalace.it,,,accoglienza,,,,hotel@sanpaolopalace.it,,,290,San Paolo Palace Hotel,,,335 5296364
,,90151,,,,,64,hotel,,"Lo Splendid Hotel La Torre si trova a Palermo, in quella parte della citt?? nota come Mondello: un luogo a met?? fra un improbabile ma autentico borgo marino, ed il fascino di una delle pi?? belle ed incontaminate spiagge del Mediterraneo, impregnato ancora oggi con i sapori e gli odori della belle - epoque. Mondello dista pochi minuti di bus dal centro della citt??: subito al di l?? dei grandi viali del parco della Favorita. Sul lato opposto, un breve tratto autostradale, collega Mondello all'aeroporto di Punta Raisi. Una posizione ideale quindi per chi voglia allo stesso tempo godere di un soggiorno in pieno relax, e visitare in tutta comodit?? il centro di Palermo ed i suoi straordinari monumenti. Oltre il grande semicerchio della rinomata spiaggia , poco distante dal borgo marinaro,sorge il piccolo promontorio roccioso, che ospita il complesso turistico della Torre. L'Albergo occupa la porzione pi?? piccola del promontorio, quella che guarda la baia; dall'altra parte invece e fino al limite della riserva marina di Capo Gallo, si stende il parco del complesso. LO STABILIMENTO BALNEARE: Da giugno a settembre,ospita uno dei pi?? noti stabilimenti balneari siciliani,aperto al pubblico. Nella localit?? ?? possibile praticare tutti gli Sports acquatici (Vela, Windsurf,Water-bike,Sci, immersioni, ecc. ) A esclusiva disposizione degli ospiti dell'albergo, ?? invece il grande solarium attrezzato, realizzato a ridosso della scogliera. Qui essi troveranno l'ampia ed accogliente piscina con acqua di mare con annessa vasca idromassaggi ed il comodo accesso alla piattaforma realizzata sugli scogli per i bagni in mare. LA PISCINA : L'Hotel dispone di una piscina con un ampio solarium, (un bar attrezzato per uno spuntino oppure un aperitivo prima del pranzo) acqua di mare con accesso diretto nelle limpide acque del nostro golfo. IL RISTORANTE : Le nostre terrazze sul mare sono le protagoniste incontrastate della stagione estiva allaTorre. Qui trova posto il noto ed esclusivo ristorante sul mare ( fino a 200 posti, ideale per i conviviali di nozze ed altri eventi esclusivi), nel periodo estivo si pu?? cenare a lume di candela sulla terrazza del nostro ristorante in un'atmosfera dal sapore antico. Il Bar : con ampi spazi interni e grandi vetrate da dove si pu?? ammirare la splendida baia di Mondello, con annesso terrazzo sul mare con possibilit?? di gustare ottimi cocktail ed ascoltare della ottima musica dal vino facendosi cullare dalle onde del mare che baciano gli scogli a ridosso della terrazza. LA SALA COLAZIONE : La nostra esclusiva sala per la piccola colazione, adatta anche per eventi esclusivi con ampi finestroni panoramici ubicata nel piano attico della struttura da dove si pu?? ammirare l'azzurro del nostro mare e se il tempo e sereno e terso di foschia si intravede la cima maestosa del vulcano Etna. L'albergo dispone di un garage coperto con sistema di video controllo.",4,,,Palermo - Mondello,091450033,Splendid Hotel La Torre,091450222 - 800236118,http://www.latorrehotel.it,,,accoglienza,,,,latorre@latorre.com,,,,Splendid Hotel La Torre,,,
,,90143,,,Rocca Raineri,,66,hotel,,,3,,,Palermo,091540049,Torreata residence Hotel,091540049,http://www.torreata.it,,,accoglienza,,,,info@torreata.it,,,54,Torreata residence Hotel,,,
,,90121,,,D'amato,,68,hotel,,,3,,,Palermo,0916213057,Villa d'Amato,0916212767,http://www.hotelvilladamato.it,,,accoglienza,,,,info@hotelvilladamato.it,,,37,Villa d'Amato,,,
,,90147,,,,,72,hotel,,,4,,,Palermo,091244551,Villa Bonocore Maletto,091244100,http://www.villabonocoremaletto.it,,,accoglienza,,,,info@villabonocoremaletto.it,,,15,Villa Bonocore Maletto,,,
,,90134,,,,,80,hotel,,,2,,,Palermo,091331722,Hotel Cortese,091331722,http://www.hotelcortese.info,,,accoglienza,,,,htcortese@iol.it,,,,Hotel Cortese,,,
,,90139,,,,,87,hotel,,,2,,,Palermo,091583011,Hotel Gaia,091583011,http://www.palermohotelgaia.com,,,accoglienza,,,,palermohotelgaia@yahoo.it,,,,Hotel Gaia,,,
,,90128,,,,,19,hotel,,"L'albergo Athenaeum, ?? una struttura alberghiera di nuova costruzione, sorge vicino al centro storico ed a soli 500 mt dall'ingresso delle autostrade per Catania e Trapani. Ubicato a pochi passi dall'ingresso della cittadella universitaria, offre un preciso riferimento non solo a chi frequenta l'Universit?? ma anche a chi viaggia per turismo e per affari. Le 80 descrizione di cui dispone l'albergo, sono tutte arredate con cura e gusto e sono dotate di cassetta di sicurezza, telefono con linea diretta, TV color, aria condizionata, frigobar ed asciuga capelli. In hotel, sono inoltre preseti,due sale ristorante, un bar, ed una saletta meeting per incontri di lavoro,tutti gli ambienti comuni, cos?? come le camere, sono coperte dal segnale internet WI-FI ad alta velocit??. Per chi dovesse essere sprovvisto di un proprio pc, ?? presente, al piano terra, di fronte alla reception, un internet point. Un capiente garage, a disposizione dei clienti H24 ?? situato nel piano cantinato dell'albergo.",3,,,Palermo,0916523456,Athenaeum,0916523529,http://www.albergoathenaeum.it,,,accoglienza,,,,info@albergoathenaeum.it,,,,Athenaeum,,,
,,90139,,,Antonio Sorrentino,,20,hotel,,,4,,,Palermo,0916055766,Artemisia Palace Hotel,0916090612 - 0916095766,http://www.artemisiapalacehotel.it,,,accoglienza,,,,info@artemisiapalacehotel.it,,,19,Artemisia Palace Hotel,,,
,,90134,,,Elio Barraco,,27,hotel,,,5,,,Palermo,091334881,Centrale Palace Hotel,091336666 - 800820080,http://www.angalahotels.it,,,accoglienza,,,,centrale@angalahotels.it,,,104,Centrale Palace Hotel,,,
1,,90139,,,Salvatore Romano,,29,hotel,,,4,,,Palermo,091335604,Cristal Palace Hotel,0916123829 - 800822269,http://www.hotelcristalpalace.net,,,accoglienza,,,,direttore@hotelcristalpalace.it - info@hotelcristalpalace.it,,,86,Cristal Palace Hotel,,,
,,90141,,,Giovanni Sapienza,,31,hotel,,,4,,,Palermo,091331545,Grand Hotel et Des Palmes,0916028111,http://www.grandhoteldespalmes.com,,,accoglienza,,,,des-palmes@amthotels.it,,,183,Grand Hotel et Des Palmes,,,
,,90139,,,Roberto Mannino,,34,hotel,,,5,,,Palermo,091335627,Grand Hotel Wagner,091336572,http://www.grandhotelwagner.it,,,accoglienza,,,,direzione@grandhotelwagner.it - info@grandhotelwagner.it,,,61,Grand Hotel Wagner,,,334 8635827
,,90139,,,,,39,hotel,,,3,,,Palermo,091612 78 86,Hotel Florio Oper??,091662 9004,http://www.hotelflorioopera.it,,,accoglienza,,,,booking@hotelflorioopera.it,,,,Hotel Florio Oper??,,,
,,90133,,,Alessia Longo,,48,hotel,,,3,,,Palermo,091587347,Hotel Posta,091587338,http://www.hotelpostapalermo.it,,,accoglienza,,,,info@hotelpostapalermo.it,,,30,Hotel Posta,,,
,,90139,,,Carmelo Messina,,49,hotel,,,3,,,Palermo,091585560,Hotel Tonic,091581754 - 0916055308,http://www.hoteltonic.it,,,accoglienza,,,,info@hoteltonic.it,,,40,Hotel Tonic,,,329 8465486
,,90139,,,Lanfranco Rizzo,,50,hotel,,,4,,,Palermo,091326346,Hotel Vecchio Borgo,0916118330,http://www.ghshotels.it/vecchioborgo,,,accoglienza,,,,vecchioborgo@ghshotels.it - bellavista.m@ghshotels.it,,,32,Hotel Vecchio Borgo,,,
,,90149,,,,30,15,hotel,,l'Addaura Hotel residence Congressi dispone di un totale di 80 unit?? abitative tutte con bagno privato: 50 camere d'albergo per 92 posti letto e 30 residence per 112 posti letto.,3,,,Palermo - Addaura,0916842255,Addaura Hotel residence Congressi,0916842222,http://www.addaura.it,,,accoglienza,,,,director@addaura.it - hotel@addaura.it,,,50,Addaura Hotel residence Congressi,,,366 6504190 - 335 8045887
4,,90139,,,Lanfranco Rizzo Gestione Astoria Palace,,41,hotel,,,4,,,Palermo,091323141,Garibaldi Hotel Al Politeama,0916017111,http://www.ghshotels.it,,,accoglienza,,,,bellavista.m@ghshotels.it,,,71,Garibaldi Hotel Al Politeama,,,
,,90133,,,Letizia Rusignolo,,44,hotel,,,3,,,Palermo,0916122840,Hotel Letizia,091589110,http://www.hotelletizia.com,,,accoglienza,,,,ruslet@hotelletizia.com,,,13,Hotel Letizia,,,
,,90133,,,Nicola Farruggio,,54,hotel,,,4,,,Palermo,091325711,Massimo Plaza Hotel,091325657,http://www.massimoplazahotel.com,,,accoglienza,,,,booking@massimoplazahotel.com,,,11,Massimo Plaza Hotel,,,
,,90151,,,Attilio Cessati,,57,hotel,,,4,,,Palermo - Mondello,091450657,Mondello Palace Hotel,091450001,http://www.mondellopalacehotel.it,,,accoglienza,,,,info@mondellopalacehotel.it,,,84,Mondello Palace Hotel,,,
,,90127,,,,,90,hotel,,,2,,,Palermo,0916167525,Hotel Sausele,0916167524 - 0916161308,,,,accoglienza,,,,,,,,Hotel Sausele,,,
,,90133,,,,,92,hotel,,,1,,,Palermo,0916100543,Hotel Concordia,0916169062,http://www.hotelconcordiapalermo.it,,,accoglienza,,,,info@hotelconcordiapalermo.it,,,,Hotel Concordia,,,
